"id","code","classe_produit_id","date_created"
"207861","C","207886","current_timestamp"
"207862","D","207888","current_timestamp"
"207863","E","207888","current_timestamp"
"207864","F","207888","current_timestamp"
"207865","G","207888","current_timestamp"
"207859","A","207888","current_timestamp"
"207860","B","207888","current_timestamp"
"207866","H","207888","current_timestamp"
"207867","I","207888","current_timestamp"
"207868","J","207888","current_timestamp"
"207869","K","207887","current_timestamp"
"207870","L","207887","current_timestamp"
"207871","M","207887","current_timestamp"
"207872","N","207887","current_timestamp"
"207873","O","207885","current_timestamp"
"207874","P","207885","current_timestamp"
"207875","Q","207885","current_timestamp"
"207876","R","207885","current_timestamp"
"207877","S","207889","current_timestamp"
"207878","T","207889","current_timestamp"
"207879","U","207889","current_timestamp"
"207880","V","207889","current_timestamp"
"207881","W","207889","current_timestamp"
"207882","X","207887","current_timestamp"
